WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,河川からの出没
POINT (136.706115 36.663474),1738,目撃,R3,R3.6.6,18時50分頃,津幡町,能瀬南から能瀬,目撃後、20分後に能瀬でも目撃,1,能瀬,1.74E+09,5.44E+08,36.663474,136.706115,1
POINT (136.3972834 36.30220975),1775,目撃,R3,R3.6.23,10時45分頃,加賀市,宇谷町地内,宇谷町地内でクマ1頭を目撃,1,宇谷,1.72E+09,5.44E+08,36.30220975,136.3972834,1
POINT (136.5090264 36.4331984),1846,目撃,R3,R3.8.2,14時55分頃,能美市,坪野町,能美市美化センター付近で、県道西側の山林へ入っていく子グマ1頭を目撃,1,坪野,1.72E+09,5.44E+08,36.4331984,136.5090264,1
POINT (136.444766 36.358852),1869,目撃,R3,R3.9.3,18時40分,小松市,木場町,木場潟公園（木場町側）付近にて、クマ成獣1頭を目撃。警察、消防、市職員4名、捕獲隊1名　周辺を確認し痕跡なし,1,木場町,1.72E+09,5.44E+08,36.358852,136.444766,1
POINT (136.6908914 36.5310905),1897,目撃,R3,R3.11.19,6時11分頃,金沢市,土清水３丁目,クマ1頭（1.0ｍ程度）を畑付近で目撃,1,土清水町,1.72E+09,5.44E+08,36.5310905,136.6908914,1
POINT (136.6998899 36.5251265),1901,目撃,R3,R3.11.24,16時30分頃,金沢市,銚子町,小クマ1頭を目撃,1,銚子口,1.72E+09,5.44E+08,36.5251265,136.6998899,1
POINT (136.59375 36.47083333),1942,人身被害,R2,R2.10.16,12時10分頃,白山市,白山市明法島町地内,90歳代男性が顔面を引っかかれて負傷。畑作業中に襲われ顔を引っかかれた。,成獣１頭,明法島町,1.72E+09,5.44E+08,36.47083333,136.59375,1
POINT (136.59375 36.47083333),1943,人身被害,R2,R2.10.16,15時14分頃,白山市,白山市明法島町地内,60歳代女性が負傷。自宅近くで襲われた。,成獣１頭,明法島町,1.72E+09,5.44E+08,36.47083333,136.59375,1
POINT (136.59375 36.47083333),1944,人身被害,R2,R2.10.16,15時45分頃,白山市,白山市明法島町地内,50歳代男性（猟友会員）が中等症を負った。住宅地での捕獲作業中に襲われた。,成獣１頭,明法島町,1.72E+09,5.44E+08,36.47083333,136.59375,1
POINT (136.35625 36.27916667),1946,人身被害,R2,R2.10.17,10時30分頃,加賀市,加賀市山代温泉地内,70歳代女性が中等症を負った。神社付近で襲われ、中等症を負った。,成獣１頭,山代温泉,1.72E+09,5.44E+08,36.27916667,136.35625,1
POINT (136.36875 36.29583333),1947,人身被害,R2,R2.10.17,10時30分頃,加賀市,加賀市山代温泉地内,80歳代女性が、肩、足に中等症を負った。仕事中に車に乗るところを襲われた。,成獣１頭,山代温泉,1.72E+09,5.44E+08,36.29583333,136.36875,1
POINT (136.36875 36.29583333),1948,人身被害,R2,R2.10.17,12時00分頃,加賀市,加賀市山代温泉地内,男性が足に軽傷を負った。住宅地で襲われ軽傷を負った,成獣１頭,山代温泉,1.72E+09,5.44E+08,36.29583333,136.36875,1
POINT (136.35625 36.27916667),1949,人身被害,R2,R2.10.18,19時10分頃,加賀市,加賀市山代温泉地内,70歳代女性が軽傷を負った。住宅地を歩いているとことを襲われた。,成獣１頭,山代温泉,1.72E+09,5.44E+08,36.27916667,136.35625,1
POINT (136.3892371 36.32484106),1972,目撃,R5,R5.12.11,17時30分頃,加賀市,動橋町地内,動橋川河川敷でクマ1頭を目撃,1頭,動橋,1.72E+09,5.44E+08,36.32484106,136.3892371,1
POINT (136.77766 36.90137),2037,目撃,R1,2019/5/29,5時30分頃,羽咋市,羽咋市大川町地内,前日のクマと思われるクマを目撃,1,羽咋,1.72E+09,5.54E+08,36.90137,136.77766,1
POINT (136.79567 36.89191),2041,目撃,R1,2019/5/29,6時30分頃,羽咋市,羽咋市石野町地内,前日のクマと思われるクマを旧牛舎付近で目撃,1,石野町,1.72E+09,5.54E+08,36.89191,136.79567,1
POINT (136.73812 36.79376),2058,目撃,R1,2019/6/2,17時40分頃,かほく市,かほく市二ツ屋地内,大海川橋付近で通行人がクマ１頭を目撃,1,二ツ屋,1.72E+09,5.54E+08,36.79376,136.73812,1
POINT (136.68044 36.58453),2070,目撃,R1,2019/6/7,7時05分頃,金沢市,金沢市小坂町地内,町内でクマ1頭（0.6m程度）を目撃,1,小坂町,1.72E+09,5.44E+08,36.58453,136.68044,1
POINT (136.67457 36.58962),2072,目撃,R1,2019/6/9,5時30分頃,金沢市,金沢市鳴和1丁目地内,ハローワーク金沢付近でクマ1頭（0.6m程度）を目撃,1,鳴和町,1.72E+09,5.44E+08,36.58962,136.67457,1
POINT (136.55394 36.41759),2075,目撃,R1,2019/6/9,15時00分頃,能美市,能美市鍋谷町,【人身事故】鍋谷川付近の用水路で水田の見回り中にクマに襲われ負傷,1,口鍋谷,1.72E+09,5.44E+08,36.41759,136.55394,1
POINT (136.40484 36.31331),2084,目撃,R1,2019/6/12,7時30分頃,小松市,小松市那谷町地内,かが森林組合那谷工場正門前圃場で目撃,1,那谷町,1.72E+09,5.44E+08,36.31331,136.40484,1
POINT (136.69287 36.61396),2098,目撃,R1,2019/6/14,16時05分頃,金沢市,金沢市吉原町地内,いしかわ特別支援学校付近でクマ１頭（小さい）を目撃,1,吉原,1.72E+09,5.44E+08,36.61396,136.69287,1
POINT (136.67392 36.5981),2106,目撃,R1,2019/6/16,6時43分頃,金沢市,金沢市神谷内町・疋田町地内,金腐川沿いを中心にクマ１頭(1.0m程度)の目撃多数,1,神谷内町,1.72E+09,5.44E+08,36.5981,136.67392,1
POINT (136.67202 36.59733),2107,目撃,R1,2019/6/16,6時51分頃,金沢市,金沢市三池栄町地内,ゆいの里前交差点付近でクマ１頭(1.0m程度)を目撃,1,三池町,1.72E+09,5.44E+08,36.59733,136.67202,1
POINT (136.6026 36.37127),2113,目撃,R1,2019/6/18,10時10分頃,白山市,白山市上野町地内,鳥越小学校から鳥越城山につづく農道付近に子グマが歩いているのを目撃,1,上野,1.72E+09,5.44E+08,36.37127,136.6026,1
POINT (136.33738 36.30715),2117,目撃,R1,2019/6/19,17時54分頃,加賀市,加賀市上河崎町地内,上河崎橋交差点付近で目撃,1,上河崎,1.72E+09,5.44E+08,36.30715,136.33738,1
POINT (136.34416 36.30356),2118,目撃,R1,2019/6/20,6時30分頃,加賀市,加賀市上河崎町地内,大聖寺川河川敷で目撃,1,上河崎,1.72E+09,5.44E+08,36.30356,136.34416,1
POINT (136.60375 36.37403),2127,目撃,R1,2019/6/23,20時40分頃,白山市,白山市上野町地内,橋爪組（上野町レ62番地）付近の工事現場を西から東に歩いていたクマ１頭を目撃,1,上野,1.72E+09,5.44E+08,36.37403,136.60375,1
POINT (136.5861 36.42995),2130,目撃,R1,2019/6/25,7時40分頃,能美市,能美市坪野町地内,市道脇にクマ１頭を目撃、坪野神社方向へ向かって逃げた,1,坪野,1.72E+09,5.44E+08,36.42995,136.5861,1
POINT (136.63277 36.54285),2222,目撃,R1,2019/9/21,3時45分頃,金沢市,金沢市久安6丁目地内,伏見川沿いの木を登り、川に向かうクマ１頭（0.8m程度）を目撃,1,久安町,1.72E+09,5.44E+08,36.54285,136.63277,1
POINT (136.60943 36.37494),2237,目撃,R1,2019/9/30,17時50分頃,白山市,白山市上野町地内,上野町地内（雲竜橋周辺）でクマ１頭を目撃,1,上野,1.72E+09,5.44E+08,36.37494,136.60943,1
POINT (136.63429 36.54092),2246,目撃,R1,2019/10/2,7時45分頃,金沢市,金沢市久安6丁目地内,久安新橋近くの伏見川沿いでクマ１頭（大きさ不明）を目撃,1,久安町,1.72E+09,5.44E+08,36.54092,136.63429,1
POINT (136.6252 36.55391),2250,目撃,R1,2019/10/2,15時40分頃,金沢市,金沢市米泉9丁目地内,住宅街路上でクマ１頭（小さい）を目撃,1,米泉町,1.72E+09,5.44E+08,36.55391,136.6252,1
POINT (136.62491 36.39673),2289,目撃,R1,2019/10/19,11時30分頃,白山市,白山市河内町福岡地内,【人身事故】80代女性が畑で農作業中、クマに襲われた。,1,福岡,1.72E+09,5.44E+08,36.39673,136.62491,1
POINT (136.60924 36.37492),2300,目撃,R1,2019/10/21,17時30分頃,白山市,白山市上野町地内,上野町地内でクマ1頭を目撃,1,上野,1.72E+09,5.44E+08,36.37492,136.60924,1
POINT (136.45066 36.38782),2309,目撃,R1,2019/10/28,7時45分頃,小松市,小松市大領町地内,大領町イ58（来来軒付近）〜同町つ76-2（大領排水機場横山代橋川）で目撃,1,大領町,1.72E+09,5.44E+08,36.38782,136.45066,1
POINT (136.45906 36.37287),2319,目撃,R1,2019/11/4,20時25分頃,小松市,小松市三谷町地内,市道今江三谷バイパス線、市道津波倉一針線にて目撃,1,三谷町,1.72E+09,5.44E+08,36.37287,136.45906,1
POINT (136.44811 36.37911),2320,目撃,R1,2019/11/4,20時48分頃,小松市,小松市今江町地内,市道今江三谷バイパス線、市道津波倉一針線にて目撃,1,今江町,1.72E+09,5.44E+08,36.37911,136.44811,1
POINT (136.44608 36.37735),2321,目撃,R1,2019/11/5,5時30分頃,小松市,小松市今江町地内,木場潟園路五朗座橋北側にて目撃,1,今江町,1.72E+09,5.44E+08,36.37735,136.44608,1
POINT (136.672657 36.68535861),1911,痕跡,R3,R3.6.6,,内灘町,西荒屋,クマの足跡を発見,,西荒屋,1.74E+09,5.54E+08,36.68535861,136.672657,1
POINT (136.6684014 36.68333618),1743,目撃,R3,R3.6.7,10時15分頃,内灘町,西荒屋地内,クマ１頭を目撃,1,西荒屋,1.74E+09,5.54E+08,36.68333618,136.6684014,1
POINT (136.6696889 36.6804839),1741,目撃,R3,R3.6.7,7時55分頃,内灘町,西荒屋地内,クマ１頭を目撃,1,西荒屋,1.74E+09,5.54E+08,36.6804839,136.6696889,1
POINT (136.6664208 36.67845808),1910,痕跡,R3,R3.6.6,,内灘町,西荒屋,クマのフンを発見,,西荒屋,1.74E+09,5.54E+08,36.67845808,136.6664208,1
POINT (136.6616744 36.6729978),1912,痕跡,R3,R3.6.7,,内灘町,宮坂地内,クマの足跡を発見,,宮坂,1.74E+09,5.54E+08,36.6729978,136.6616744,1
POINT (136.6729933 36.68575386),1914,痕跡,R3,R3.6.8,,内灘町,西荒屋地内,クマのフン、足跡らしきものを発見,,西荒屋,1.74E+09,5.54E+08,36.68575386,136.6729933,1
POINT (136.6553755 36.66285864),1909,痕跡,R3,R3.6.6,,内灘町,宮坂,クマの足跡を発見,,宮坂,1.74E+09,5.44E+08,36.66285864,136.6553755,1
POINT (136.739772 36.810392),159,目撃,R4,R4.7.2,11時45分頃,宝達志水町,北川尻地内,米出ICから南東約２００ｍの雑木林でクマを目撃。体長１ｍほど,1,北川尻,1.74E+09,5.54E+08,36.810392,136.739772,1
POINT (136.736978 36.8086),396,目撃,R5,R5.7.11,19時30分頃,宝達志水町,北川尻地内,クマの成獣とみられる個体;北川尻地内　海岸付近で目撃,1,北川尻,1.74E+09,5.54E+08,36.8086,136.736978,1
POINT (136.734835 36.804729),395,目撃,R5,R5.7.11,19時00分頃,宝達志水町,北川尻地内,クマの成獣とみられる個体;北川尻地内　海岸付近で目撃,1,北川尻,1.74E+09,5.54E+08,36.804729,136.734835,1
POINT (136.3617798 36.30819316),1670,痕跡,R2,R2.11.22,,加賀市,加賀市加茂町,ヤマダ電機付近で痕跡を確認,,加茂,1.72E+09,5.44E+08,36.30819316,136.3617798,1
POINT (136.6356439 36.4291837),6,目撃,R6,R6.4.15,9時10分頃,白山市,白山町地内,白山町地内（JA大神支店付近）にてクマ１頭の目撃,1頭,白山町,1.72E+09,5.44E+08,36.4291837,136.6356439,1
POINT (136.4906702 36.4097052),9,目撃,R6,R6.4.30,2時26分,小松市,千代町,千代町集落中程の個人宅庭にて遭遇,1頭,千代町,1.72E+09,5.44E+08,36.4097052,136.4906702,1
POINT (136.44911 36.365379),10,目撃,R6,R6.5.2,19時40分,小松市,木場町,木場潟中央園地横カヌー艇庫,1頭,木場町,1.72E+09,5.44E+08,36.365379,136.44911,1
POINT (136.7628152 36.6653466),11,目撃,R6,R6.5.3,9時30分頃,津幡町,竹橋地内,竹橋地内の野球場付近で南の方角へ走っていくクマ1頭（体長1m）を目撃,1頭,竹橋,1.74E+09,5.44E+08,36.6653466,136.7628152,1
POINT (136.741945 36.4961702),13,目撃,R6,R6.5.7,11時30分頃,金沢市,北袋町地内,北袋町地内でクマ１頭を目撃,1頭,北袋,1.72E+09,5.44E+08,36.4961702,136.741945,1
POINT (136.6327173 36.4377005),16,目撃,R6,R6.5.9,19時00分頃,白山市,白山町地内,白山町地内（加賀一ノ宮駅付近）にてクマ１頭の目撃,1頭,白山町,1.72E+09,5.44E+08,36.4377005,136.6327173,1
POINT (136.443659 36.340907),17,目撃,R6,R6.5.10,7時46分,小松市,津波倉町,津波倉東交差点付近にて目撃,1頭,津波倉町,1.72E+09,5.44E+08,36.340907,136.443659,1
POINT (136.365413 36.2647302),19,目撃,R6,R6.5.13,23時00分頃,加賀市,別所町,加賀山中大橋下の大聖寺川河川敷でクマ1頭を目撃,1頭,上原,1.72E+09,5.44E+08,36.2647302,136.365413,1
POINT (136.731294 36.763491),21,目撃,R6,R6.5.15,5時20分頃,かほく市,内高松地内,河北縦断道路アクロス高松口交差点付近で通行人がクマ１頭を目撃,1頭,内高松,1.72E+09,5.54E+08,36.763491,136.731294,1
POINT (136.62387 36.17443),25,目撃,R6,R6.5.19,10時30分頃,白山市,白峰地内,白峰町地内（かんこ大橋付近）にてクマ1頭の目撃,1頭,白峰,1.72E+09,5.44E+08,36.17443,136.62387,1
POINT (136.7063882 36.5495572),29,目撃,R6,R6.5.21,14時50分,金沢市,角間町地内,クマ１頭を目撃,1頭,角間,1.72E+09,5.44E+08,36.5495572,136.7063882,1
POINT (136.7063896 36.5495583),31,目撃,R6,R6.5.22,7時00分,金沢市,角間町地内,クマ１頭を目撃,1頭,角間,1.72E+09,5.44E+08,36.5495583,136.7063896,1
POINT (136.508687 36.39604),32,目撃,R6,R6.5.23,4時22分,小松市,軽海町,中海中学校体育館裏　町道を横断,1頭,軽海町,1.72E+09,5.44E+08,36.39604,136.508687,1
POINT (136.7063873 36.5495638),33,目撃,R6,R6.5.23,17時30分,金沢市,太陽が丘地内,クマ１頭を目撃,1頭,角間,1.72E+09,5.44E+08,36.5495638,136.7063873,1
POINT (136.7074728 36.5219072),36,目撃,R6,R6.5.25,18時00分,金沢市,上中町地内,クマを目撃,-,上中,1.72E+09,5.44E+08,36.5219072,136.7074728,1
POINT (136.752443 36.671216),40,目撃,R6,R6.5.26,18時10分頃,津幡町,津幡町倉見地内,南から北へ川を渡るクマ1頭（体長0.5から0.6m）を目撃,1頭,倉見,1.74E+09,5.54E+08,36.671216,136.752443,1
POINT (136.6230583 36.1764709),44,目撃,R6,R6.5.30,10時00分頃,白山市,白峰地内,白峰地内（白山工房付近）にてクマ１頭の目撃,1頭,白峰,1.72E+09,5.44E+08,36.1764709,136.6230583,1
POINT (136.7026403 36.6159709),47,目撃,R6,R6.5.31,16時30分頃,金沢市,観法寺町地内,クマ１頭を目撃,1頭,岩出,1.72E+09,5.44E+08,36.6159709,136.7026403,1
POINT (136.629525 36.45048),48,目撃,R6,R6.5.31,16時30分頃,白山市,鶴来日詰町地内,鶴来日詰町（金劔宮境内）で子グマ１頭の目撃,1頭,知守町,1.72E+09,5.44E+08,36.45048,136.629525,1
POINT (136.6260745 36.1794744),51,目撃,R6,R6.6.1,14時40分頃,白山市,白峰地内,白峰地内（白峰小学校横の手取川沿い）にてクマ１頭の目撃,1頭,白峰,1.72E+09,5.44E+08,36.1794744,136.6260745,1
POINT (136.447151 36.356107),55,目撃,R6,R6.6.2,22時20分,小松市,木場町,木場町交差点から山側へ移動,1頭,木場町,1.72E+09,5.44E+08,36.356107,136.447151,1
POINT (136.7027348 36.5466402),57,目撃,R6,R6.6.3,18時40分頃,金沢市,角間町地内,クマ１頭を目撃,1頭,角間,1.72E+09,5.44E+08,36.5466402,136.7027348,1
POINT (136.3651983 36.2643234),60,目撃,R6,R6.6.4,19時40分頃,加賀市,山中温泉上原町地内,(有)大島漆器店付近でクマ１頭を目撃,1頭,上原,1.72E+09,5.44E+08,36.2643234,136.3651983,1
POINT (136.991054 37.030625),61,目撃,R6,R6.6.5,13時00分頃,七尾市,万行町地内,希望の丘公園周辺でクマ１頭の目撃,1頭,万行,1.72E+09,5.54E+08,37.030625,136.991054,1
POINT (137.022905 37.050728),64,目撃,R6,R6.6.5,17時40分頃,七尾市,殿町地内,郷橋ふれあいセンター付近でクマ１頭の目撃,1頭,殿,1.72E+09,5.54E+08,37.050728,137.022905,1
POINT (136.438801 36.335875),65,目撃,R6,R6.6.6,13時00分頃,小松市,戸津町,国道８号粟津IC付近の水田横（親子）,2頭,戸津町,1.72E+09,5.44E+08,36.335875,136.438801,1
POINT (136.6285669 36.175487),66,目撃,R6,R6.6.6,13時10分頃,白山市,白峰地内,白峰地内（白峰スキー競技場駐車場）でクマ１頭の目撃,1頭,白峰,1.72E+09,5.44E+08,36.175487,136.6285669,1
POINT (136.6149806 36.3967778),67,目撃,R6,R6.6.6,15時00分頃,白山市,河合町地内,河合町地内（手取キャニオンロード）でクマ１頭の目撃,1頭,河合,1.72E+09,5.44E+08,36.3967778,136.6149806,1
POINT (136.5314853 36.4269658),70,目撃,R6,R6.6.6,19時00分,能美市,"	上八里町",加賀産業道路の上八里交差点付近で和気町から八里台方面へ向かう体長1.0mほどのクマ1頭の目撃。,1頭,下和気,1.72E+09,5.44E+08,36.4269658,136.5314853,1
POINT (136.528615 36.424153),71,目撃,R6,R6.6.6,19時10分,小松市,上八里町,道路上から神社方面の茂みに移動,1頭,上八里町,1.72E+09,5.44E+08,36.424153,136.528615,1
POINT (136.6264635 36.1728128),74,目撃,R6,R6.6.8,10時00分頃,白山市,白峰地内,白峰地内（白峰河川公園手取川沿い）でクマ１頭の目撃,1頭,白峰,1.72E+09,5.44E+08,36.1728128,136.6264635,1
POINT (136.7077215 36.5363081),75,目撃,R6,R6.6.8,14時00分頃,金沢市,田上本町地内,クマ１頭を目撃,1頭,田上本,1.72E+09,5.44E+08,36.5363081,136.7077215,1
POINT (136.6937795 36.5056138),79,目撃,R6,R6.6.9,21時00分頃,金沢市,中戸町地内,クマ１頭を目撃,1頭,天池,1.72E+09,5.44E+08,36.5056138,136.6937795,1
POINT (136.488559 36.358446),82,目撃,R6,R6.6.10,0時30分,小松市,江指町,国道を北から南へクマが横断,1頭,江指町,1.72E+09,5.44E+08,36.358446,136.488559,1
POINT (136.83019 36.890372),84,目撃,R6,R6.6.10,12時00分頃,羽咋市,福水町地内,羽咋市国道４１５号羽咋トンネルの福水側の畑でクマ１目撃,1頭,宇土野,1.72E+09,5.54E+08,36.890372,136.83019,1
POINT (136.439052 36.336055),85,目撃,R6,R6.6.10,18時00分,小松市,戸津町,国道８号粟津IC付近の水田横（親子）,2頭,戸津町,1.72E+09,5.44E+08,36.336055,136.439052,1
POINT (136.8099044 36.8576012),86,目撃,R6,R6.6.10,18時30分〜;19時00分頃,宝達志水町,散田〜新宮地内,宝達志水町地内でクマ1頭を目撃。川を上流に向かって移動し最終的に山に帰っていった。,1頭,散田,1.74E+09,5.54E+08,36.8576012,136.8099044,1
POINT (136.8155049 36.8502869),87,目撃,R6,R6.6.10,18時30分〜;19時00分頃,宝達志水町,散田〜新宮地内,宝達志水町地内でクマ1頭を目撃。川を上流に向かって移動し最終的に山に帰っていった。,1頭,散田,1.74E+09,5.54E+08,36.8502869,136.8155049,1
POINT (136.3276321 36.2797023),91,目撃,R6,R6.6.11,15時30分頃,加賀市,直下町地内,通行人がクマ1頭を目撃,1頭,直下,1.72E+09,5.44E+08,36.2797023,136.3276321,1
POINT (136.444858 36.332519),92,目撃,R6,R6.6.11,17時30分,小松市,戸津町,道路脇より林側に移動,1頭,戸津町,1.72E+09,5.44E+08,36.332519,136.444858,1
POINT (136.6883139 36.5950964),103,目撃,R6,R6.6.14,15時27分,金沢市,神谷内町地内,クマ１頭を目撃,1頭,神谷内町,1.72E+09,5.44E+08,36.5950964,136.6883139,1
POINT (136.3898165 36.2768329),107,目撃,R6,R6.6.16,18時50分頃,加賀市,柏野町地内,柏野町地内でクマ1頭を目撃,1頭,須谷,1.72E+09,5.44E+08,36.2768329,136.3898165,1
POINT (136.3910765 36.3157516),111,目撃,R6,R6.6.17,18時00分頃,加賀市,分校町地内,�潟Gムケーエンジニアリング駐車場でクマ1頭を目撃,1頭,分校,1.72E+09,5.44E+08,36.3157516,136.3910765,1
POINT (136.3277118 36.2796863),115,目撃,R6,R6.6.19,9時10分頃,加賀市,直下町地内,旧加賀市高齢者保健保養センター松風荘付近で子グマ1頭を目撃,1頭,直下,1.72E+09,5.44E+08,36.2796863,136.3277118,1
POINT (136.3376472 36.3057928),117,目撃,R6,R6.6.20,16時30分頃,加賀市,吸坂町地内,南郷小学校前交差点付近でクマ1頭を目撃,1頭,南郷,1.72E+09,5.44E+08,36.3057928,136.3376472,1
POINT (136.812918 36.883421),118,目撃,R6,R6.6.21,7時45分頃,宝達志水町,杉野屋,杉野屋個人宅裏山にて目撃。,1頭,杉野屋,1.74E+09,5.54E+08,36.883421,136.812918,1
POINT (136.504111 36.352573),122,目撃,R6,R6.6.25,6時00分,小松市,金平町,不動橋を渡って東側へ移動,1頭,金平町,1.72E+09,5.44E+08,36.352573,136.504111,1
POINT (136.681786 36.697696),124,目撃,R6,R6.6.25,17時00分頃,かほく市,大崎地内,一般県道高松・内灘線から大崎光宝台へ下る坂の途中付近で通行人がクマらしきもの1頭を目撃,1頭,大崎,1.72E+09,5.54E+08,36.697696,136.681786,1
POINT (136.441532 36.329976),127,目撃,R6,R6.6.26,19時10分,小松市,南陽町,住宅街の外縁部の斜面の藪を移動,2頭,戸津町,1.72E+09,5.44E+08,36.329976,136.441532,1
POINT (136.440197 36.329048),128,目撃,R6,R6.6.27,16時30分,小松市,南陽町,住宅街の外縁部の斜面の藪を上荒屋方面に移動,2頭,戸津町,1.72E+09,5.44E+08,36.329048,136.440197,1
POINT (136.529458 36.29893),130,目撃,R6,R6.6.27,20時30分,小松市,尾小屋町,民家の換気扇フードを破壊し逃走,1頭,尾小屋町,1.72E+09,5.44E+08,36.29893,136.529458,1
POINT (136.3660408 36.2344104),132,目撃,R6,R6.6.28,10時40分頃,加賀市,山中温泉こおろぎ町地内,湯快リゾート 花・彩朝楽の駐車場付近で子グマ１頭を目撃,1頭,山中町,1.72E+09,5.44E+08,36.2344104,136.3660408,1
POINT (136.3692727 36.2840879),133,目撃,R6,R6.6.28,15時00分頃,加賀市,山代温泉大和町地内,ビレッジハウス山代付近でクマ１頭を目撃,1頭,山代温泉,1.72E+09,5.44E+08,36.2840879,136.3692727,1
POINT (136.771638 36.759133),134,目撃,R6,R6.6.29,5時00分頃,かほく市,箕打地内,国道471号、金松工業付近で西から東に走るクマ1頭を目撃,1頭,箕打,1.72E+09,5.54E+08,36.759133,136.771638,1
POINT (136.6232335 36.3477437),139,目撃,R6,R6.6.30,18時20分頃,白山市,下吉谷町地内,下吉谷町地内（下水処理場付近）でクマ1頭の目撃,1頭,下吉谷,1.72E+09,5.44E+08,36.3477437,136.6232335,1
POINT (136.527928 36.306432),140,目撃,R6,R6.7.1,15時25分,小松市,尾小屋町,国道416号付近の神社,1頭,二ツ屋長原,1.72E+09,5.44E+08,36.306432,136.527928,1
POINT (136.7179167 36.5610876),143,目撃,R6,R6.7.1,19時40分頃,金沢市,牧町地内,クマ１頭を目撃,1頭,牧町,1.72E+09,5.44E+08,36.5610876,136.7179167,1
POINT (136.3069445 36.3468442),148,目撃,R6,R6.7.3,14時00分頃,加賀市,橋立町地内,加賀健康グリーンパーク付近でクマ1頭を目撃,1頭,橋立,1.72E+09,5.44E+08,36.3468442,136.3069445,1
POINT (136.447275 36.328206),149,目撃,R6,R6.7.3,16時20分,小松市,粟津町,粟津おっしょべ公園から山側へ移動,2頭,粟津町,1.72E+09,5.44E+08,36.328206,136.447275,1
POINT (136.356424 36.2717524),150,目撃,R6,R6.7.3,19時30分頃,加賀市,山中温泉中田町地内,大聖寺川沿いを移動する親子のクマ2頭を目撃,2頭,中田,1.72E+09,5.44E+08,36.2717524,136.356424,1
POINT (136.3660764 36.2351311),153,目撃,R6,R6.7.4,14時20分頃,加賀市,山中温泉こおろぎ町地内,湯快リゾート 花・彩朝楽の駐車場付近でクマ１頭を目撃,1頭,山中町,1.72E+09,5.44E+08,36.2351311,136.3660764,1
POINT (136.6232335 36.3477437),154,目撃,R6,R6.7.4,18時30分頃,白山市,下吉谷町地内,下吉谷町地内（下水処理場付近）でクマ1頭の目撃,1頭,下吉谷,1.72E+09,5.44E+08,36.3477437,136.6232335,1
POINT (136.3140521 36.2969357),158,目撃,R6,R6.7.5,9時50分頃,加賀市,熊坂町地内,�椛蜩ｯ工業敷地内でクマ1頭を目撃,1頭,熊坂,1.72E+09,5.44E+08,36.2969357,136.3140521,1
POINT (136.3690271 36.2378055),159,目撃,R6,R6.7.5,11時00分頃,加賀市,山中温泉下谷町地内,民家の庭でクマ1頭を目撃,1頭,下谷,1.72E+09,5.44E+08,36.2378055,136.3690271,1
POINT (136.3630487 36.2666939),160,目撃,R6,R6.7.5,18時00分頃,加賀市,山中温泉上原町地内,川北工房付近で親子のクマを目撃,2頭,上原,1.72E+09,5.44E+08,36.2666939,136.3630487,1
POINT (136.50395 36.352502),161,目撃,R6,R6.7.5,21時42分,小松市,金平町,国道416号付近の神社,1頭,金平町,1.72E+09,5.44E+08,36.352502,136.50395,1
POINT (136.366814 36.2341389),164,目撃,R6,R6.7.8,6時00分〜;7時00分頃,加賀市,山中温泉菅谷町地内,旅館 厨八十八付近でクマ1頭を目撃,1頭,菅谷,1.72E+09,5.44E+08,36.2341389,136.366814,1
POINT (136.7035813 36.5395844),175,目撃,R6,R6.7.10,18時50分,金沢市,田上町,クマ１頭を目撃,1頭,田上,1.72E+09,5.44E+08,36.5395844,136.7035813,1
POINT (136.3716828 36.2409706),178,目撃,R6,R6.7.12,17時30分頃,加賀市,山中温泉下谷町地内,山中温泉下谷町地内でクマ1頭を目撃,1頭,下谷,1.72E+09,5.44E+08,36.2409706,136.3716828,1
POINT (136.6597306 36.3581388),180,目撃,R6,R6.7.13,10時20分頃,白山市,河内町下折地内,河内町下折地内（河内建設工事現場プレハブ事務所付近）で親子クマ2頭の目撃,1頭,金間,1.72E+09,5.44E+08,36.3581388,136.6597306,1
POINT (136.772431 36.694662),183,目撃,R6,R6.7.16,18時58分頃,津幡町,吉倉地内,県道興津・刈安線で散歩中の歩行者が吉倉から笠野小方面に上るクマ１頭を目撃,1頭,吉倉,1.74E+09,5.54E+08,36.694662,136.772431,1
POINT (136.2978971 36.2932973),184,目撃,R6,R6.7.16,19時30分頃,加賀市,熊坂町地内,熊坂町地内でクマ1頭を目撃,1頭,熊坂,1.72E+09,5.44E+08,36.2932973,136.2978971,1
POINT (136.779884 36.689323),185,目撃,R6,R6.7.16,19時40分頃,津幡町,蓮花寺地内,県道莇谷・津幡線で県道を走行中の目撃者が笠野小方面から県道を横断し笠野川方面に逃げるクマ１頭を目撃。,1頭,蓮花寺,1.74E+09,5.54E+08,36.689323,136.779884,1
POINT (136.3747076 36.2444197),186,目撃,R6,R6.7.17,13時15分頃,加賀市,山中温泉河鹿町地内,道路上で子グマ1頭を目撃,1頭,山中町,1.72E+09,5.44E+08,36.2444197,136.3747076,1
POINT (136.3754747 36.2480051),187,目撃,R6,R6.7.17,13時15分頃,加賀市,山中温泉東町2丁目地内,白鷺湯たわらや旅館付近でクマ1頭を目撃,1頭,山中町,1.72E+09,5.44E+08,36.2480051,136.3754747,1
